starting bet count,end balance
2,500.0
3,333.3333333333335
4,375.0
5,0.0
6,1500.0
7,1500.0000000000002
8,62.5
9,1500.0000000000005
10,1500.0
2,1500.0
3,333.3333333333335
4,0.0
5,1500.0
6,1500.0
7,285.7142857142856
8,1500.0
9,222.22222222222246
10,100.0
2,1500.0
3,5.684341886080802e-14
4,1500.0
5,200.0
6,166.66666666666646
7,285.7142857142855
8,1500.0
9,166.66666666666697
10,300.0
2,1500.0
3,1500.0000000000002
4,1500.0
5,200.0
6,1500.0000000000007
7,142.85714285714312
8,187.5
9,277.77777777777777
10,1500.0
2,1500.0
3,1500.0000000000002
4,1500.0
5,300.0
6,1499.9999999999995
7,1499.9999999999995
8,1500.0
9,166.66666666666708
10,1500.0
2,250.0
3,5.684341886080802e-14
4,375.0
5,0.0
6,5.684341886080802e-14
7,2.2737367544323206e-13
8,1500.0
9,1500.0000000000005
10,1500.0
2,1500.0
3,166.66666666666674
4,1500.0
5,1500.0
6,249.99999999999994
7,1499.9999999999995
8,1500.0
9,1500.0000000000005
10,350.0
2,250.0
3,1500.0000000000002
4,125.0
5,1500.0
6,1499.9999999999998
7,1500.0
8,1500.0
9,1500.0000000000002
10,1500.0
2,1500.0
3,5.684341886080802e-14
4,0.0
5,1500.0
6,1499.9999999999998
7,142.85714285714278
8,1500.0
9,1500.0000000000002
10,1500.0
2,250.0
3,333.3333333333335
4,0.0
5,1500.0
6,333.3333333333333
7,285.7142857142856
8,1500.0
9,333.3333333333339
10,300.0
2,1500.0
3,333.3333333333335
4,1500.0
5,1500.0
6,416.66666666666646
7,1499.9999999999998
8,125.0
9,222.22222222222257
10,50.0
2,1500.0
3,5.684341886080802e-14
4,250.0
5,1500.0
6,83.33333333333331
7,357.1428571428572
8,1500.0
9,1500.0000000000002
10,400.0
2,1500.0
3,333.3333333333335
4,1500.0
5,400.0
6,1499.9999999999995
7,1500.0
8,250.0
9,1500.0000000000002
10,1500.0
2,250.0
3,1500.0000000000002
4,250.0
5,1500.0
6,333.3333333333332
7,142.8571428571429
8,1500.0
9,1500.0000000000005
10,1500.0
2,1500.0
3,1500.0000000000002
4,1500.0
5,1500.0
6,1500.0
7,1499.9999999999998
8,1500.0
9,277.77777777777777
10,50.0
2,500.0
3,5.684341886080802e-14
4,375.0
5,100.0
6,416.6666666666666
7,1499.9999999999998
8,250.0
9,1500.0
10,200.0
2,1500.0
3,166.66666666666674
4,1500.0
5,0.0
6,1499.9999999999995
7,285.7142857142856
8,1500.0
9,1500.0000000000002
10,100.0
2,1500.0
3,1500.0
4,1500.0
5,1500.0
6,1500.0000000000002
7,285.7142857142855
8,312.5
9,1500.0000000000005
10,300.0
2,1500.0
3,166.66666666666674
4,1500.0
5,0.0
6,249.99999999999994
7,428.57142857142816
8,1500.0
9,1500.0000000000005
10,1500.0
2,1500.0
3,1500.0000000000002
4,0.0
5,1500.0
6,1500.0
7,1499.9999999999995
8,1500.0
9,1500.0000000000005
10,100.0
2,1500.0
3,1500.0
4,1500.0
5,1500.0
6,416.6666666666666
7,285.7142857142856
8,125.0
9,222.22222222222234
10,1500.0
2,1500.0
3,1500.0000000000002
4,125.0
5,1500.0
6,1500.0
7,1499.9999999999998
8,250.0
9,1500.0
10,1500.0
2,250.0
3,1500.0000000000002
4,375.0
5,1500.0
6,1500.0
7,1500.0
8,125.0
9,111.11111111111143
10,200.0
2,250.0
3,1500.0000000000002
4,1500.0
5,100.0
6,333.3333333333333
7,1500.000000000001
8,1500.0
9,277.7777777777782
10,100.0
2,1500.0
3,166.66666666666674
4,250.0
5,300.0
6,333.3333333333333
7,428.57142857142816
8,1500.0
9,1500.0000000000002
10,50.0
2,1500.0
3,1500.0
4,250.0
5,400.0
6,166.66666666666669
7,1499.9999999999998
8,1500.0
9,277.77777777777777
10,1500.0
2,500.0
3,5.684341886080802e-14
4,1500.0
5,1500.0
6,166.66666666666669
7,1500.0
8,1500.0
9,222.22222222222246
10,1500.0
2,500.0
3,1500.0
4,1500.0
5,1500.0
6,250.00000000000006
7,285.7142857142856
8,1500.0
9,1500.0000000000005
10,1500.0
2,500.0
3,166.66666666666674
4,125.0
5,400.0
6,1500.0
7,1500.0
8,250.0
9,1500.0
10,100.0
2,1500.0
3,333.3333333333335
4,125.0
5,300.0
6,1500.0
7,285.7142857142856
8,1500.0
9,1500.0000000000005
10,1500.0
2,250.0
3,1500.0000000000002
4,1500.0
5,1500.0
6,333.3333333333333
7,357.14285714285694
8,1500.0
9,222.22222222222234
10,300.0
2,250.0
3,1500.0
4,1500.0
5,1500.0
6,333.33333333333326
7,1500.0
8,1500.0
9,166.66666666666686
10,1500.0
2,1500.0
3,5.684341886080802e-14
4,250.0
5,1500.0
6,333.3333333333333
7,1499.9999999999998
8,1500.0
9,1500.0000000000005
10,1500.0
2,1500.0
3,5.684341886080802e-14
4,1500.0
5,400.0
6,83.33333333333331
7,428.5714285714284
8,62.5
9,222.22222222222257
10,150.0
2,1500.0
3,1500.0000000000002
4,1500.0
5,1500.0
6,1500.0
7,285.7142857142856
8,1500.0
9,1500.0
10,1500.0
2,1500.0
3,5.684341886080802e-14
